,GTR,PR1,PR2,PR3,x,y
251,0.04367,0.00878,0.01119,0.01699,1.436631234668847,0.08063000000000001
252,0.04403,0.00882,0.01122,0.01707,1.4423548650858544,0.08114
253,0.04439,0.00886,0.01126,0.01714,1.4480784955028618,0.08165
254,0.04476,0.0089,0.01129,0.01721,1.453802125919869,0.08216
255,0.04512,0.00894,0.01132,0.01729,1.4595257563368764,0.08267000000000001
256,0.04549,0.00898,0.01136,0.01736,1.4652493867538838,0.08319000000000001
257,0.04585,0.00902,0.01139,0.01744,1.4709730171708912,0.0837
258,0.04622,0.00906,0.01143,0.01751,1.4766966475878986,0.08422000000000002
259,0.04659,0.0091,0.01146,0.01758,1.4824202780049058,0.08473
260,0.04697,0.00914,0.01149,0.01766,1.4881439084219132,0.08526
261,0.04734,0.00918,0.01153,0.01773,1.4938675388389206,0.08578000000000001
262,0.04771,0.00922,0.01156,0.0178,1.499591169255928,0.08629
263,0.04809,0.00926,0.0116,0.01787,1.5053147996729352,0.08682000000000002
264,0.04847,0.0093,0.01163,0.01795,1.5110384300899427,0.08735
265,0.04885,0.00934,0.01166,0.01802,1.51676206050695,0.08787
266,0.04923,0.00939,0.0117,0.01809,1.5224856909239575,0.08841
267,0.04961,0.00943,0.01173,0.01816,1.5282093213409649,0.08893
268,0.04999,0.00947,0.01177,0.01823,1.533932951757972,0.08946000000000001
269,0.05038,0.00951,0.0118,0.0183,1.5396565821749795,0.08999
270,0.05076,0.00956,0.01184,0.01837,1.5453802125919869,0.09053
271,0.05115,0.0096,0.01187,0.01845,1.5511038430089943,0.09107
272,0.05154,0.00964,0.01191,0.01852,1.5568274734260015,0.09161
273,0.05193,0.00969,0.01194,0.01859,1.5625511038430089,0.09215
274,0.05232,0.00973,0.01198,0.01866,1.5682747342600163,0.09269
275,0.05272,0.00977,0.01201,0.01873,1.5739983646770237,0.09323000000000001
276,0.05311,0.00982,0.01205,0.0188,1.579721995094031,0.09378000000000002
277,0.05351,0.00986,0.01208,0.01887,1.5854456255110383,0.09432
278,0.05391,0.00991,0.01212,0.01894,1.5911692559280457,0.09487999999999999
279,0.05431,0.00995,0.01215,0.01901,1.596892886345053,0.09542000000000002
280,0.05471,0.01,0.01219,0.01907,1.6026165167620605,0.09597
