,GTR,PR1,x,y
2367,0.51468,0.02702,16.573143285821455,0.5417
2368,0.51368,0.02698,16.580145036259065,0.5406600000000001
2369,0.51268,0.02695,16.587146786696675,0.53963
2370,0.51168,0.02691,16.594148537134284,0.5385899999999999
2371,0.51068,0.02688,16.60115028757189,0.53756
2372,0.50969,0.02684,16.6081520380095,0.5365300000000001
2373,0.5087,0.02681,16.61515378844711,0.5355099999999999
2374,0.50771,0.02677,16.62215553888472,0.5344799999999998
2375,0.50672,0.02674,16.62915728932233,0.5334599999999999
2376,0.50574,0.0267,16.63615903975994,0.53244
2377,0.50476,0.02667,16.64316079019755,0.5314300000000001
2378,0.50378,0.02664,16.650162540635158,0.5304200000000001
2379,0.50281,0.0266,16.657164291072768,0.52941
2380,0.50184,0.02657,16.664166041510377,0.5284099999999998
2381,0.50087,0.02653,16.671167791947987,0.5274000000000002
2382,0.4999,0.0265,16.678169542385596,0.5264
2383,0.49894,0.02647,16.685171292823206,0.5254100000000002
2384,0.49797,0.02643,16.692173043260816,0.5243999999999999
2385,0.49701,0.0264,16.699174793698425,0.5234099999999999
2386,0.49606,0.02636,16.70617654413603,0.5224199999999999
2387,0.4951,0.02633,16.71317829457364,0.52143
2388,0.49415,0.0263,16.72018004501125,0.52045
2389,0.4932,0.02626,16.72718179544886,0.5194599999999999
2390,0.49225,0.02623,16.73418354588647,0.5184800000000002
2391,0.49131,0.0262,16.74118529632408,0.5175099999999999
2392,0.49037,0.02616,16.74818704676169,0.51653
2393,0.48943,0.02613,16.7551887971993,0.5155599999999999
2394,0.48849,0.0261,16.76219054763691,0.5145900000000001
2395,0.48755,0.02606,16.76919229807452,0.5136100000000001
2396,0.48662,0.02603,16.776194048512128,0.5126499999999999
2397,0.48569,0.026,16.783195798949738,0.51169
2398,0.48476,0.02597,16.790197549387347,0.51073
2399,0.48384,0.02593,16.797199299824957,0.5097700000000002
2400,0.48292,0.0259,16.804201050262566,0.50882
2401,0.482,0.02587,16.811202800700173,0.5078699999999998
2402,0.48108,0.02584,16.818204551137782,0.5069199999999999
2403,0.48016,0.0258,16.825206301575392,0.5059600000000001
2404,0.47925,0.02577,16.832208052013,0.5050199999999999
2405,0.47834,0.02574,16.83920980245061,0.50408
2406,0.47743,0.0257,16.84621155288822,0.5031299999999999
2407,0.47652,0.02567,16.85321330332583,0.5021899999999998
2408,0.47562,0.02564,16.86021505376344,0.5012599999999999
2409,0.47472,0.02561,16.86721680420105,0.5003299999999999
2410,0.47382,0.02558,16.87421855463866,0.4994000000000002
2411,0.47292,0.02554,16.88122030507627,0.49846
2412,0.47203,0.02551,16.88822205551388,0.49754
2413,0.47114,0.02548,16.89522380595149,0.49661999999999995
2414,0.47025,0.02545,16.902225556389098,0.49570000000000014
2415,0.46936,0.02542,16.909227306826708,0.49478
2416,0.46848,0.02538,16.916229057264314,0.49385999999999997
2417,0.46759,0.02535,16.923230807701923,0.49293999999999993
2418,0.46671,0.02532,16.930232558139533,0.49202999999999986
2419,0.46583,0.02529,16.937234308577143,0.49112
2420,0.46496,0.02526,16.944236059014752,0.4902199999999999
2421,0.46408,0.02523,16.951237809452362,0.4893099999999999
2422,0.46321,0.02519,16.95823955988997,0.48839999999999995
2423,0.46234,0.02516,16.96524131032758,0.48749999999999993
2424,0.46148,0.02513,16.97224306076519,0.4866099999999999
2425,0.46061,0.0251,16.9792448112028,0.48571
2426,0.45975,0.02507,16.98624656164041,0.48482000000000003
2427,0.45889,0.02504,16.99324831207802,0.4839300000000001
2428,0.45803,0.02501,17.00025006251563,0.48304
2429,0.45717,0.02498,17.00725181295324,0.48214999999999997
2430,0.45632,0.02494,17.014253563390845,0.4812599999999999
2431,0.45547,0.02491,17.021255313828455,0.48038000000000003
2432,0.45462,0.02488,17.028257064266064,0.47950000000000004
2433,0.45377,0.02485,17.035258814703674,0.47862000000000005
2434,0.45293,0.02482,17.042260565141284,0.47775
