Neutrino energy,discrete levels,only GTR,total
2.38,4.080962521687705,0.00013365149955081728,4.081096173187256
2.39,4.140186248225845,0.00013803461206217057,4.140324282837907
2.4,4.201606002698344,0.00014241772457352365,4.201748420422917
2.41,4.264802183087989,0.00014680083708487694,4.264948983925073
2.42,4.3421335260920015,0.00015118394959623,4.342284710041597
2.43,4.406438266324075,0.0001565033244133282,4.406594769648489
2.44,4.468081981715702,0.00016228384335116624,4.468244265559053
2.45,4.53135654853947,0.0001680643622890045,4.531524612901759
2.46,4.5951706846346845,0.00017384488122684254,4.595344529515911
2.47,4.6598353542492665,0.0001796254001646808,4.660014979649431
2.48,4.724361069945515,0.00018540591910251884,4.724546475864618
2.49,4.789366338190082,0.00019118643804035712,4.789557524628123
2.5,4.855127188422081,0.00019696695697819514,4.855324155379059
2.5100000000000002,4.920957278261043,0.00020274747591603342,4.921160025736959
2.52,4.987333310616483,0.00020852799485387145,4.987541838611337
2.5300000000000002,5.054038728015058,0.00021529383808000077,5.054254021853138
2.54,5.121518148597481,0.00022254499028394475,5.121740693587765
2.5500000000000003,5.18957481870853,0.00022979614248788902,5.189804614851018
2.56,5.257869740745811,0.00023704729469183297,5.258106788040503
2.57,5.326767809726233,0.00024429844689577695,5.327012108173129
2.58,5.396205680320556,0.0002515495990997212,5.396457229919656
2.59,5.466001388763086,0.00025880075130366517,5.46626018951439
2.6,5.536045201850403,0.00026605190350760945,5.536311253753911
2.61,5.606420114627813,0.0002733030557115534,5.606693417683524
2.62,5.683086393779039,0.00028055420791549767,5.683366947986954
2.63,5.765458411919747,0.0002892203020032046,5.76574763222175
2.64,5.875621954777326,0.00029858330776500423,5.875920538085091
2.65,5.952986069512192,0.0003079463135268035,5.953294015825718
2.66,6.035822806962375,0.00031730931928860315,6.036140116281663
2.67,6.1174424050262335,0.00032667232505040236,6.117769077351284
2.68,6.193614580102351,0.000336035330812202,6.193950615433163
2.69,6.271588444494557,0.00034539833657400127,6.271933842831131
2.7,6.3489286824571725,0.0003547613423358009,6.349283443799508
2.71,6.427762931137925,0.00036412434809760013,6.428127055486023
2.72,6.5086035988443545,0.00037348735385939983,6.508977086198214
2.73,6.591615653487847,0.00038454228303262813,6.592000195770879
2.74,6.6816216362834835,0.0003964305476174564,6.682018066831101
2.75,6.7631316397355565,0.0004083188122022841,6.763539958547759
2.7600000000000002,6.844647751822938,0.0004202070767871124,6.845067958899725
2.77,6.927218961975831,0.0004320953413719401,6.927651057317203
2.7800000000000002,7.013900050189598,0.0004439836059567684,7.014344033795554
2.79,7.106342011073197,0.0004558718705415961,7.106797882943739
2.8000000000000003,7.213597466452045,0.0004677601351264244,7.214065226587172
2.81,7.299954506149518,0.0004796483997112521,7.3004341545492295
2.82,7.386145737843897,0.0004915366642960798,7.386637274508193
2.83,7.47863395970225,0.0005055723825465341,7.479139532084797
2.84,7.579068374380691,0.0005206658018561766,7.579589040182547
2.85,7.699706618017409,0.0005357592211658199,7.700242377238575
2.86,7.790754211385247,0.0005508526404754626,7.791305064025722
2.87,7.882271858171323,0.0005659460597851058,7.882837804231108
2.88,7.974372076908057,0.0005810394790947485,7.974953116387152
2.89,8.066460982942612,0.0005961328984043918,8.067057115841017
2.9,8.159999976699734,0.0006112263177140344,8.160611203017448
2.91,8.253701984167504,0.0006263197370236776,8.254328303904527
2.92,8.34991482590616,0.0006414131563333203,8.350556239062493
2.93,8.452498745124117,0.0006593307936343706,8.453158075917752
2.94,8.551684713748896,0.0006786394636774568,8.552363353212574
2.95,8.648540264231194,0.0006979481337205436,8.649238212364914
2.96,8.746239992840888,0.0007172568037636298,8.746957249644652
2.97,8.844600183587133,0.0007365654738067167,8.84533674906094
2.98,8.945351973833013,0.0007558741438498027,8.946107847976863
2.99,9.048233112126216,0.0007751828138928896,9.049008294940108
3.0,9.148312159397406,0.0007944914839359757,9.149106650881341
3.0100000000000002,9.249429736082373,0.0008138001539790627,9.250243536236352
3.02,9.35097017598835,0.0008331088240221487,9.351803284812371
