energy;sum_spectrum
6.84;592809.6948
6.85;592618.254
6.86;592426.8132
6.87;592223.8008
6.88;592019.963
6.89;591811.3918
6.9;591602.8206
6.91;591386.135
6.92;591169.4494
6.93;590942.3954
6.94;590715.3414
6.95;590477.4682
6.96;590239.595
6.97;589988.1978
6.98;589736.8006
6.99;589483.6002
7.0;589230.3998
7.01;588967.7326
7.02;588705.0654
7.03;588431.579
7.04;588158.918
7.05;587874.6124
7.06;587590.3068
7.07;587292.9661
7.08;586995.6254
7.09;586697.5704
7.1;586399.5154
7.11;586091.092
7.12;585782.6686
7.13;585464.3276
7.14;585145.9866
7.15;584816.601
7.16;584487.2154
7.17;584146.109
7.18;583805.0026
7.19;583462.093
7.2;583119.1834
7.21;582766.1308
7.22;582413.0782
7.23;582049.8826
7.24;581686.687
7.25;581312.4468
7.26;580938.2066
7.27;580554.0488
7.28;580169.4783
7.29;579781.7522
7.3;579394.4388
7.31;578997.4332
7.32;578600.4276
7.33;578193.279
7.34;577786.1304
7.35;577367.9372
7.36;576949.744
7.37;576522.9856
7.38;576096.2272
7.39;575665.4116
7.4;575234.596
7.41;574793.6755
7.42;574352.755
7.43;573902.3296
7.44;573451.9042
7.45;572989.7961
7.46;572527.688
7.47;572059.2306
7.48;571590.7732
7.49;571117.957
7.5;570643.9027
7.51;570160.3816
7.52;569677.2732
7.53;569184.2472
7.54;568690.8085
7.55;568185.8744
7.56;567681.353
7.57;567172.3236
7.58;566663.2942
7.59;566147.9536
7.6;565632.2003
7.61;565107.2056
7.62;564582.6236
7.63;564048.124
7.64;563513.2117
7.65;562966.3532
7.66;562420.7328
7.67;561871.6203
7.68;561322.5078
7.69;560766.3698
7.7;560210.2318
7.71;559644.4397
7.72;559078.6476
7.73;558503.1252
7.74;557927.6028
7.75;557339.4961
7.76;556751.3894
7.77;556164.1843
7.78;555576.9792
7.79;554980.9454
7.8;554384.9116
7.81;553780.0872
7.82;553175.2628
7.83;552560.5208
7.84;551945.3661
7.85;551318.9414
7.86;550692.5167
7.87;550066.3174
7.88;549440.5308
7.89;548805.7282
7.9;548170.5129
7.91;547526.507
7.92;546882.5011
7.93;546228.803
7.94;545575.5176
